fixture_id,name,halftime,minute,Successful.Passes_home,Successful.Passes_away,Ball.Possession_home,Ball.Possession_away,Goals_home,Goals_away,Attacks_home,Attacks_away,Yellowcards_home,Yellowcards_away,Redcards_home,Redcards_away,Penalties_home,Penalties_away
19134453,Manchester United vs Fulham,2nd-half,53,285,175,60,40,0,0,67,43,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,54,286,175,60,40,0,0,67,44,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,55,286,175,60,40,0,0,68,44,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,56,288,179,60,40,0,0,71,44,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,57,295,181,60,40,0,0,71,46,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,58,298,186,60,40,0,0,72,47,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,59,298,186,60,40,0,0,75,48,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,60,306,192,60,40,0,0,77,49,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,61,306,192,60,40,0,0,77,49,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,62,306,192,60,40,0,0,78,51,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,63,307,203,58,42,0,0,78,51,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,64,307,203,58,42,0,0,78,53,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,65,307,203,58,42,0,0,83,54,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,66,315,204,58,42,0,0,84,54,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,67,319,204,59,41,0,0,88,55,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,68,324,204,59,41,0,0,89,55,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,69,324,204,59,41,0,0,90,55,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,70,333,212,59,41,0,0,91,56,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,71,333,212,59,41,0,0,91,56,2,1,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,72,334,213,59,41,0,0,92,57,2,2,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,73,343,219,59,41,0,0,93,62,2,2,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,74,349,223,59,41,0,0,95,63,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,75,349,223,59,41,0,0,96,64,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,76,350,225,59,41,0,0,96,64,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,77,350,225,58,42,0,0,96,66,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,78,353,243,57,43,0,0,97,67,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,79,353,245,57,43,0,0,97,67,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,80,354,247,57,43,0,0,98,67,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,81,354,247,57,43,0,0,99,68,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,82,357,248,57,43,0,0,99,70,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,83,357,248,57,43,0,0,100,71,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,84,365,251,57,43,0,0,101,72,2,3,0,0,0,0
19134453,Manchester United vs Fulham,2nd-half,85,367,256,56,44,0,0,101,73,2,3,0,0,0,0
